NUTS_ID,population2013,gdpcap2013,gdp2013
AL,2895.1,3300,9625.4
AT,8477.2,38200,323910.2
BE,11125,35300,392339.8
BG,7265.1,5800,41858.11
CH,8039.1,64100,518379.5
CY,861.9,21000,18140.49
CZ,10510.7,15000,157741.65
DE,80646,35000,2826240
DK,5613,46100,258742.68
EE,1320.2,14300,18932.28
EL,10965.2,16500,180654.28
ES,46593.2,22000,1025693
FI,5439,37400,203338
FR,65600.3,32100,2117189
HR,4254.5,10300,43779.18
HU,9893.1,10300,101890.51
IE,4620,38900,179922.41
IT,60646.4,26500,1604599.1
LI,36.8,128400,4812.4
LT,2957.7,11800,34959.65
LU,545.3,85300,46499.56
LV,2012.8,11300,22828.95
ME,621.2,5400,3362.5
MK,2064,3900,8149.6
MT,426.1,17900,7645.2
NL,16779.6,39300,660463
NO,5080,77600,393966.1
PL,38502,10300,394733.8
PT,10457.3,16300,170269.33
RO,19988.7,7200,143801.63
SE,9600.4,45400,436217.88
SI,2059.5,17600,36239.2
SK,5413,13700,74169.87
TR,76147.6,9400,714313.4
UK,64106,32400,2073978.52
